Algorithm;Input;Solution;Time
greedy;1;23.0;1.230769230769231e-06
greedy;10;335.0;4.538461538461539e-06
greedy;100;2127.0;1.6461538461538463e-05
greedy;1000;7334.0;0.0001356153846153846
greedy;10000;19945.0;0.0013880769230769229
greedy;100000;42948.0;0.01418123076923077
greedy;1000000;49697.0;0.126655
greedy;101;2474.0;1.7615384615384615e-05
greedy;101000;42720.0;0.01371776923076923
greedy;102;2056.0;1.646153846153846e-05
greedy;102000;43411.0;0.014363846153846156
greedy;103;2393.0;1.9923076923076923e-05
greedy;103000;43584.0;0.013931000000000002
greedy;104;2277.0;1.607692307692308e-05
greedy;104000;43146.0;0.014615384615384615
greedy;105;2570.0;2.584615384615385e-05
greedy;105000;43038.0;0.014654076923076924
greedy;106;2328.0;1.8e-05
greedy;106000;43297.0;0.014895846153846155
greedy;107;2455.0;1.7384615384615385e-05
greedy;107000;43455.0;0.015503153846153849
greedy;108;2333.0;1.869230769230769e-05
greedy;108000;43624.0;0.014822923076923076
greedy;109;2543.0;1.7461538461538464e-05
greedy;109000;43693.0;0.015499538461538462
greedy;11;275.0;5.230769230769231e-06
greedy;110;2520.0;1.9538461538461537e-05
greedy;11000;20479.0;0.0016619230769230771
greedy;110000;43497.0;0.015773846153846152
greedy;111;2397.0;1.815384615384616e-05
greedy;111000;43653.0;0.015478307692307692
greedy;112;2174.0;1.7538461538461543e-05
greedy;112000;43406.0;0.014813461538461543
greedy;113;2398.0;1.661538461538462e-05
greedy;113000;43833.0;0.015776153846153846
greedy;114;2573.0;1.6923076923076924e-05
greedy;114000;43858.0;0.016910923076923077
greedy;115;2391.0;1.684615384615385e-05
greedy;115000;43512.0;0.01614723076923077
greedy;116;2426.0;1.784615384615385e-05
greedy;116000;44107.0;0.016483307692307693
greedy;117;2804.0;1.7384615384615385e-05
greedy;117000;44130.0;0.015423076923076925
greedy;118;2463.0;2.0846153846153844e-05
greedy;118000;44314.0;0.01733676923076923
greedy;119;2526.0;2.207692307692308e-05
greedy;119000;44046.0;0.018226846153846156
greedy;12;357.0;4.9999999999999996e-06
greedy;120;2545.0;2.053846153846154e-05
greedy;12000;21095.0;0.0020393076923076927
greedy;120000;43890.0;0.015280384615384616
greedy;121;2588.0;1.838461538461539e-05
greedy;121000;44425.0;0.017687769230769233
greedy;122;2510.0;1.853846153846154e-05
greedy;122000;44487.0;0.017000923076923077
greedy;123;2396.0;2.1000000000000002e-05
greedy;123000;44573.0;0.018137923076923076
greedy;124;2594.0;1.7230769230769234e-05
greedy;124000;44106.0;0.015943
greedy;125;2537.0;2.0076923076923077e-05
greedy;125000;44252.0;0.018352538461538462
greedy;126;2558.0;2.707692307692308e-05
greedy;126000;44668.0;0.01631576923076923
greedy;127;2350.0;1.9692307692307696e-05
greedy;127000;44684.0;0.016982153846153845
greedy;128;2493.0;2.176923076923077e-05
greedy;128000;44402.0;0.017579846153846154
greedy;129;2562.0;2.6846153846153848e-05
greedy;129000;44373.0;0.017140230769230772
greedy;13;197.0;6.384615384615384e-06
greedy;130;2783.0;1.9615384615384617e-05
greedy;13000;22848.0;0.0019365384615384615
greedy;130000;44356.0;0.015958
greedy;131;2810.0;2.053846153846154e-05
greedy;131000;44645.0;0.017741230769230766
greedy;132;2704.0;1.923076923076923e-05
greedy;132000;44594.0;0.01804223076923077
greedy;133;2885.0;2.1692307692307693e-05
greedy;133000;44924.0;0.01676384615384615
greedy;134;2612.0;2.123076923076923e-05
greedy;134000;44892.0;0.018012153846153844
greedy;135;2721.0;1.923076923076923e-05
greedy;135000;44688.0;0.01725153846153846
greedy;136;2605.0;2.169230769230769e-05
greedy;136000;44835.0;0.019481384615384616
greedy;137;2706.0;2.0230769230769232e-05
greedy;137000;44794.0;0.01946292307692308
greedy;138;2663.0;1.9076923076923077e-05
greedy;138000;44669.0;0.019151
greedy;139;2738.0;2.1000000000000002e-05
greedy;139000;45418.0;0.017766999999999998
greedy;14;382.0;5.76923076923077e-06
greedy;140;2828.0;2.0153846153846156e-05
greedy;14000;22574.0;0.002130923076923077
greedy;140000;44815.0;0.019619307692307693
greedy;141;2462.0;2.7307692307692312e-05
greedy;141000;44988.0;0.019878769230769224
greedy;142;2600.0;2.4076923076923073e-05
greedy;142000;45276.0;0.01968769230769231
greedy;143;2823.0;2.0307692307692308e-05
greedy;143000;45181.0;0.01950684615384615
greedy;144;2713.0;2.0384615384615387e-05
greedy;144000;44972.0;0.018905384615384616
greedy;145;2832.0;2.3846153846153843e-05
greedy;145000;45363.0;0.018779923076923076
greedy;146;2831.0;2.0692307692307696e-05
greedy;146000;45520.0;0.018976
greedy;147;2590.0;2.3692307692307688e-05
greedy;147000;45229.0;0.01939138461538462
greedy;148;2708.0;2.4846153846153846e-05
greedy;148000;45372.0;0.01843638461538462
greedy;149;2779.0;2.3230769230769227e-05
greedy;149000;45306.0;0.021001230769230772
greedy;15;385.0;5.461538461538461e-06
greedy;150;2775.0;3.0153846153846155e-05
greedy;15000;23197.0;0.0022552307692307694
greedy;150000;45067.0;0.019812538461538465
greedy;151;3094.0;2.1769230769230772e-05
greedy;151000;45336.0;0.019414538461538462
greedy;152;3005.0;2.4923076923076926e-05
greedy;152000;45644.0;0.019502307692307694
greedy;153;2771.0;2.0923076923076923e-05
greedy;153000;45398.0;0.01943207692307692
greedy;154;2999.0;2.0846153846153848e-05
greedy;154000;45593.0;0.019666615384615387
greedy;155;2880.0;2.4538461538461537e-05
greedy;155000;45744.0;0.020039923076923077
greedy;156;2955.0;2.1846153846153848e-05
greedy;156000;45570.0;0.02041207692307693
greedy;157;2912.0;2.3923076923076925e-05
greedy;157000;45395.0;0.02028453846153846
greedy;158;2810.0;2.8923076923076925e-05
greedy;158000;45325.0;0.021188461538461538
greedy;159;2916.0;2.1923076923076924e-05
greedy;159000;45601.0;0.020465769230769235
greedy;16;312.0;5.307692307692307e-06
greedy;160;2612.0;2.1384615384615384e-05
greedy;16000;24482.0;0.0024110769230769233
greedy;160000;45712.0;0.021314307692307695
greedy;161;2614.0;2.376923076923077e-05
greedy;161000;45809.0;0.020299461538461537
greedy;162;2932.0;2.369230769230769e-05
greedy;162000;45879.0;0.019681538461538455
greedy;163;3096.0;2.4846153846153846e-05
greedy;163000;45963.0;0.02166946153846154
greedy;164;2855.0;3.6384615384615386e-05
greedy;164000;45717.0;0.020451076923076923
greedy;165;2586.0;3.476923076923077e-05
greedy;165000;45665.0;0.020668000000000002
greedy;166;2997.0;2.076923076923077e-05
greedy;166000;45752.0;0.021535615384615386
greedy;167;3015.0;2.3461538461538464e-05
greedy;167000;45786.0;0.021511076923076924
greedy;168;2880.0;3.338461538461539e-05
greedy;168000;46082.0;0.02074061538461538
greedy;169;2767.0;2.7692307692307694e-05
greedy;169000;46111.0;0.022402846153846155
greedy;17;409.0;5.230769230769231e-06
greedy;170;2926.0;3.4384615384615385e-05
greedy;17000;24206.0;0.0026001538461538462
greedy;170000;46208.0;0.022365
greedy;171;3085.0;2.369230769230769e-05
greedy;171000;45903.0;0.022664000000000004
greedy;172;2957.0;3e-05
greedy;172000;46159.0;0.021545692307692307
greedy;173;2947.0;2.969230769230769e-05
greedy;173000;46025.0;0.023351538461538462
greedy;174;2999.0;2.3307692307692306e-05
greedy;174000;46170.0;0.020698923076923077
greedy;175;2905.0;2.9076923076923076e-05
greedy;175000;45976.0;0.02258538461538462
greedy;176;2751.0;2.476923076923077e-05
greedy;176000;45961.0;0.02232346153846154
greedy;177;2890.0;2.776923076923077e-05
greedy;177000;46183.0;0.02268092307692308
