Algorithm;Input;Solution;Time
backtracking;1;23.0;5.384615384615383e-07
backtracking;10;335.0;2.230769230769231e-06
backtracking;11;275.0;3.076923076923076e-06
backtracking;12;357.0;1.2384615384615384e-05
backtracking;13;197.0;1.4846153846153846e-05
backtracking;14;382.0;1.9846153846153844e-05
backtracking;15;385.0;3.5692307692307685e-05
backtracking;16;312.0;0.00024153846153846155
backtracking;17;409.0;0.0002403076923076923
backtracking;18;456.0;0.0003382307692307692
backtracking;19;388.0;0.0005247692307692308
backtracking;2;55.0;7.692307692307693e-07
backtracking;20;414.0;0.002973769230769231
backtracking;21;570.0;0.003555461538461538
backtracking;22;623.0;0.0048564615384615395
backtracking;23;606.0;0.007625384615384617
backtracking;24;603.0;0.04347876923076924
backtracking;25;758.0;0.05221723076923079
backtracking;26;644.0;0.07876992307692307
backtracking;27;717.0;0.125418
backtracking;28;710.0;0.7464283846153846
backtracking;29;795.0;0.9174367692307693
backtracking;3;58.0;1.0000000000000002e-06
backtracking;30;641.0;1.3547354615384617
backtracking;31;938.0;2.1392177692307692
backtracking;32;697.0;12.223596846153846
backtracking;33;794.0;15.034620230769228
backtracking;34;930.0;21.396219384615378
backtracking;35;813.0;34.601851153846155
backtracking;36;948.0;198.56555
backtracking;4;110.0;6.923076923076923e-07
backtracking;5;69.0;1.4615384615384616e-06
backtracking;6;117.0;1.8461538461538462e-06
backtracking;7;165.0;9.230769230769232e-07
backtracking;8;231.0;2.7692307692307693e-06
backtracking;9;180.0;2.307692307692308e-06
dynamic_programming;1;23.0;4.076923076923077e-06
dynamic_programming;10;335.0;2.730769230769231e-05
dynamic_programming;11;275.0;2.8538461538461543e-05
dynamic_programming;12;357.0;3e-05
dynamic_programming;13;197.0;3.415384615384615e-05
dynamic_programming;14;382.0;3.838461538461538e-05
dynamic_programming;15;385.0;3.569230769230769e-05
dynamic_programming;16;312.0;3.684615384615384e-05
dynamic_programming;17;409.0;5.023076923076922e-05
dynamic_programming;18;456.0;6.153846153846154e-05
dynamic_programming;19;388.0;5.376923076923078e-05
dynamic_programming;2;55.0;7.0769230769230756e-06
dynamic_programming;20;414.0;5.192307692307693e-05
dynamic_programming;21;570.0;5.569230769230769e-05
dynamic_programming;22;623.0;6.907692307692307e-05
dynamic_programming;23;606.0;6.515384615384616e-05
dynamic_programming;24;603.0;5.823076923076922e-05
dynamic_programming;25;758.0;5.8538461538461544e-05
dynamic_programming;26;644.0;6.115384615384617e-05
dynamic_programming;27;717.0;7.384615384615384e-05
dynamic_programming;28;710.0;6.576923076923078e-05
dynamic_programming;29;795.0;6.915384615384615e-05
dynamic_programming;3;58.0;9.538461538461538e-06
dynamic_programming;30;641.0;9.561538461538461e-05
dynamic_programming;31;938.0;9.884615384615386e-05
dynamic_programming;32;697.0;9.561538461538462e-05
dynamic_programming;33;794.0;0.00010061538461538462
dynamic_programming;34;930.0;0.00012192307692307695
dynamic_programming;35;813.0;0.00010123076923076924
dynamic_programming;36;948.0;0.00013076923076923077
dynamic_programming;4;110.0;1.3307692307692309e-05
dynamic_programming;5;69.0;1.5846153846153845e-05
dynamic_programming;6;117.0;2.6461538461538463e-05
dynamic_programming;7;165.0;2.8230769230769233e-05
dynamic_programming;8;231.0;2.1615384615384614e-05
dynamic_programming;9;180.0;2.6076923076923074e-05
